Identifiant,Nom,Description,Tag 1,Tag 2,Tag 3,Latitude,Longitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Email,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
badtech,Badtech,"Badtech est la société qui édite dismoioù,  plateforme web et mobile de réseautage social géolocalisé qui permet de découvrir de nouvelles adresses et de partager ses expériences.",reseausocial,mobile,geolocalisation,48.869671,2.34412,33 rue des Jeuneurs,75002,Paris,2007,http://www.dismoiou.fr,,dismoiou,https://www.facebook.com/pages/Dismoio%C3%B9Tellmewhere/223154981105583,,http://www.linkedin.com/company/1184934,,Entreprise
balyo,Balyo,"Balyo conçoit, fabrique et commercialise toute une gamme de véhicules autoguidés destinés au transport de palettes dans l’industrie et la logistique.",ocds,,,48.8307547,2.3116813,"Le Losserand, 170 rue Raymond Losserand",75014,Paris,2005,http://www.balyo.com,,,,,,,Entreprise
banctec,BancTec,"BancTec propose des solutions et services dans le traitement des documents, du contenu, des moyens de paiement et des informations de votre organisation.",ged,,,48.850766,2.622725,1 rue de la Mare Blanche,77180,Noisiel,1972,http://www.banctec.fr,,BancTecInc,,,,,Entreprise
banexi-ventures-partners,Banexi Ventures Partners,Banexi Ventures Partners est une société de gestion indépendante qui investit à partir de fonds de venture capital dans des entreprises hightech à fort potentiel de croissance.,venturecapitalist,hightech,,48.872349,2.33599,13 rue Taitbout,75009,Paris,,http://www.banexiventures.com,,,,,http://www.linkedin.com/company/137667,,Investisseur
bankeez,Bankeez,"Bankeez est une plateforme sécurisée, web et mobile, qui simplifie toutes les collectes d'argent, entre proches et pour les associations.",collecte,argent,,48.86092,2.34238,1 rue Bailleul,75001,Paris,2011,http://www.bankeez.com,,Bankeez,https://www.facebook.com/bankeez,,http://www.linkedin.com/company/1809735,,Entreprise
baracoda,Baracoda,Baracoda est spécialisée dans la fourniture de solution de  capture de données connectée pour applications mobiles.,bluetooth,data,rfid,48.870461,2.231742,25 quai Gallieni,92150,Suresnes,2001,http://www.baracoda.com,,Baracoda_Traca,,,http://www.linkedin.com/company/27712,,Entreprise
bdarchiconsulting,BDArchiConsulting,innovation IT,,,,48.8767125170005,2.3373134760004177,15,rue Saint-Lazare 75009 Paris,,2009,http://www.bdarchiconsulting.fr,bdarchiconsulting@gmail.com,,,,,,Prestataire
be-angels,Be Angels,Be Angels est une agence 100% communication digitale et réseaux sociaux.,communication,digital,reseauxsociaux,48.83646,2.24385,52 rue de la Belle Feuille,92100,Boulogne Billancourt,,http://be-angels.fr,,_beangels_,https://www.facebook.com/just.be.angels,,,,Prestataire
bearingpoint,BearingPoint,Cabinet de conseil en management et technologie. Spécialisé en relation client digitale,,,,48.88856460553335,2.247283458709717,Tour Galilée,,La Défense,2013,http://www.bearingpoint.com,patrice.begoc@bearingpoint.com,,,,,,Prestataire
bearstech,Bearstech,"Bearstech est une société coopérative d’ingénieurs spécialisée en infogérance, hébergement et développement d'applications complexes.",hebergement,developpement,apps,48.87065,2.341578,40 passage des Panoramas,75002,Paris,2004,http://www.bearstech.com,,bearstech,,,http://www.linkedin.com/company/288753,,Entreprise
beasty-prod,Beasty Prod,"Beasty Prod est une agence de production et de conseil qui développe des programmes multi-supports, participatifs et communautaires et s'oriente vers de nouvelles façons de raconter l’information, la fiction et la communication.",conseil,communication,,48.859219,2.38637,151 rue de la Roquette,75011,Paris,,http://www.beastyprod.fr,,Beastyprod,http://fr-fr.facebook.com/beasty.prod.7,,,,Prestataire
beebac,Beebac,"Beebac.com est un réseau social grand public dédié à l’éducation, des classes de sixième au doctorat. Le principe est simple : favoriser le travail collaboratif à travers la puissance d’un réseau social dédié.",,,,48.891402833000484,2.3479874840004413,28 rue Eugene Sue 75018 Paris,,,2007,http://www.beebac.com,sami@beebac.com,beebac,https://www.facebook.com/beebac,,,,Entreprise
beechannels,BeeChannels,"BeeChannels édite et publie Beebac, un réseau social gratuit de partage des savoirs scolaires et professionnels.",reseausocial,education,socialschool,48.891374,2.34803,28 rue Eugène Sue,75018,Paris,2007,http://www.beechannels.com,,beechannels,https://www.facebook.com/beechannels,,http://www.linkedin.com/company/2318431,,Entreprise
beepjob,Beepjob,"Beepjob est une application, web et mobile, de diffusion d'annonces d'emploi géolocalisées.",emploi,geolocalisation,,48.840302,2.22463,56 quai Alphonse le Gallo,92100,Boulogne Billancourt,2011,http://www.beepjob.com,,beepjob,https://www.facebook.com/beepjob,,http://www.linkedin.com/company/2137129,,Entreprise
beetween,Beetween,Beetween est une plateforme de recrutement digital qui offre aux entreprises un outil de gestion complet de leur processus de recrutement.,recrutement,,,48.872742,2.23062,23 rue Edouard Nieuport,92150,Suresnes,2007,http://www.beetween.com,,recruterdigital,https://www.facebook.com/recrutementdigital.france.7,,http://www.linkedin.com/company/1863051,,Entreprise
believe-digital,Believe Digital,Believe Digital est un distributeur de contenus digitaux et un fournisseur de services pour les artistes et labels indépendants.,musique,video,,48.87783,2.37066,2 place du Colonel Fabien,75019,Paris,2005,http://www.believedigital.com,,Believe_USA,https://www.facebook.com/believedigital,,http://www.linkedin.com/company/167107,,Entreprise
bertin-technologies,Bertin Technologies,La société développe ses activités dans la(les) filière(s) énergétique(s) suivante(s) : Energie électrique; Energie thermique; Bioproduits.,securite,,,43.529742,5.447427,"155, rue Louis Armand, Pôle d'activité d'Aix les Milles BP 2000",13791,Aix-En-Provence,2000,http://www.bertin.fr,,,,,,,Entreprise
bertrand-lejeune,Bertrand Lejeune,,Investisseur,,,48.8574475,2.2780893,38 rue de l'Annonciation,75016,Paris,2004,,,,,,,,Entreprise
better-watt,Better Watt,"Better Watt est un service qui permet d'activer, de programmer et de réguler les chauffages à partir d'un mobile à tout moment.",,,,48.8892636,2.2835566,16 rue Louis Rouquier,92300,Levallois Perret,2011,,,,,,,,Entreprise
beyond-croissant,Beyond Croissant,Beyond Croissant est une plateforme communautaire de repas chez l'habitant.,foodfellows,,,48.872711,2.35773,88 rue du Faubourg Saint Martin,75010,Paris,2012,http://www.beyondcroissant.com,,beyondcroissant,https://www.facebook.com/BeyondCroissant,,http://www.linkedin.com/company/2744609,,Entreprise
bge-parif,BGE PaRIF,Les espaces de coworking BGE PaRIF accueillent tout type d’entrepreneur qui souhaite travailler au sein d’une communauté d’entrepreneurs.,coworking,,,48.868351,2.36606,18 rue du Faubourg du Temple,75011,Paris,2012,http://www.bgparif.com,,,,,,,Tiers-lieu
big5media,Big5media,"Big5media est une agence digitale qui conçoit, développe et promeut des applications pour smartphones, tablettes et télévisions connectées.",agence,mobile,tvconnectee,48.8048,2.33568,3 impasse du Bel Air,94110,Arcueil,2008,http://www.big5media.com,,big5media,https://www.facebook.com/big5media,,,,Entreprise
bigpoint,Bigpoint,Bigpoint est un développeur de jeux vidéo qui édite un site portail avec des jeux de rôle en ligne dont certains ont la possibilité d'être multijoueurs.  ,jeu,,,48.873032,2.28311,54 avenue Foch,75008,Paris,2010,http://www.bigpoint.net,,Bigpoint,https://www.facebook.com/pages/Bigpoint/106073496099621,https://plus.google.com/117258632766585080247,http://www.linkedin.com/company/1764951,,Entreprise
bio-modeling-systems,Bio Modeling Systems,"The primary goal of Model Biosystems is to offer services to the scientific community in the area of model systems, which will serve to advance our understanding of the genetic regulation of normal development and diseases affecting humans",ocds,,,48.8372967,2.291752,26 rue Saint Lambert,75015,Paris,2004,http://www.bmsystems.net,,,,,,,Entreprise
bioparhom,Bioparhom,"\\nBioparHom conçoit, fabrique et commercialise des dispositifs médicaux.\\nBioparHom s’est spécialisé dans le diagnostic de composition corporelle par Bioimpédance.",sante,,,45.649392,5.859076,"30 Allée Lac d'Aiguebelette, Bâtiment Passerelle - BP238",73374,Bourget du Lac,2008,http://www.bioparhom.com/,,,,,,,Entreprise
bird-office,Bird Office,"Bird Office permet aux entreprises de mettre à disposition leurs espaces disponibles (salle de réunion, bureaux,...) pour des professionnels.\\\\\\\\nAinsi vous :\\\\\\\\n- bénéficiez d'un complément de revenu\\\\\\\\n- obtenez de nouvelles opportunités de Networking.",,,,48.8673181530005,2.2722452320004436,29 Boulevard Lannes,75116,Paris,2013,http://www.bird-office.com,michael@bird-office.com,Bird_Office,https://www.facebook.com/BirdOffice,https://plus.google.com/103963351843836344988/posts,http://www.linkedin.com/company/3227659,,Entreprise
blablacar,BlaBlaCar,"BlaBlaCar est le service de covoiturage, web et mobile, édité par Comuto.",covoiturage,economiecollaborative,,48.864281,2.37971,84 avenue de la République,75011,Paris,2004,http://www.covoiturage.fr,,blablacar_fr,https://www.facebook.com/covoiturage.fr,https://plus.google.com/+BlaBlaCarFR,http://www.linkedin.com/company/2479609,,Entreprise
black-sheep-studio,Black Sheep Studio,"Black Sheep est un studio spécialisé dans le développement de jeux vidéos : services, outsourcing, serious games.",jeu,studio,,48.865629,2.392446,18 rue Soleillet,75020,Paris,2003,http://www.blacksheep-studio.org,,,,,http://www.linkedin.com/company/200159,,Entreprise
blockbase,Blockbase,"Blockbase édite des solutions mobiles pour les professionnels de l'immobilier et de la construction, notamment l'application BulldozAIR.",mobile,construction,,48.868309,2.35707,48 rue Meslay,75003,Paris,2012,http://www.blockbase.com,,@blockbase,,,http://www.linkedin.com/company/blockbase,,Entreprise
blockbase-bulldozair,Blockbase - BulldozAIR,"Blockbase édite Bulldozair, une solution mobile collaborative pour le suivi de projets de construction .",,,,48.868309,2.35707,48 rue Meslay,75003,Paris,2012,http://www.blockbase.com,Contact@blockbase.com,blockbase,,,http://www.linkedin.com/company/blockbase,,Entreprise
blogspirit,blogSpirit,blogSpirit accompagne les entreprises dans la mise en oeuvre de leurs espaces de dialogue et de participation avec leurs publics et à travers la mise à disposition d'applications de community management associées.,reseausocial,blog,saas,48.82233,2.30083,3 rue Danton,92240,Malakoff,2004,http://www.blogspirit.com,,blogSpirit,,,,,Entreprise
blue-factory,Blue Factory,Blue Factory est l'incubateur de startups d'ESCP Europe dans lequel une trentaine d’entrepreneurs travaillent tous les jours pour créer demain.,ecole,startups,,48.863949,2.38142,81 avenue de la République,75011,Paris,2003,http://www.blue-factory.eu,,BlueFactory_,https://www.facebook.com/BlueFactoryESCP,,,,Incubateur
blueight,Blueight,"Blueight est une société spécialisée dans linformatique et le développement durable qui propose des service de conseil, d’audit, d’intégration et d’ingénierie.",greenIT,developpement,durable,48.83601,2.23545,150 rue Galliéni,92100,Boulogne-Billancourt,2011,http://www.blueight.com,,,,,,,Prestataire
bluelinea,Bluelinea,"La solution  BlueHomeCare® de Bluelinea s’inscrit dans une démarche éthique qui vise à permettre aux personnes âgées souffrant d’une perte d’autonomie, de vivre plus longtemps à leur domicile dans de bonnes conditions.",ocds,sante,,48.8875016,2.3033963,60 boulevard Pereire,75017,Paris,2006,http://www.bluelinea.com,,,,,,,Entreprise
bluenod,Bluenod,Bluenod est une plateforme en ligne qui permet de visualiser en temps réel les conversations et interactions autour d'un hashtag sur Twitter et de cartographier des communautés.,dataviz,twitter,,48.893959,2.35278,110 rue des Poissonniers ,75018,Paris,2012,http://www.bluenod.com,,,,,,,Entreprise
bluenove,Bluenove,Bluenove est une agence conseil pour la stratégie et la mise en œuvre de démarches d'open innovation.,conseil,openinnovation,,48.841164,2.23722,67 rue d'Aguesseau,92100,Boulogne Billancourt,2008,http://www.bluenove.com,,bluenove,,,http://www.linkedin.com/company/227145,,Prestataire
bluwan,Bluwan,Bluwan propose aux opérateurs une technologie de transport de données qui utilise des solutions multi-gigabits sans fil et délivre des vitesses et des capacités comparables à celles de la fibre.,ftta,telecom,reseaux,48.895163,2.15121,4 rue Emile Pathé,78400,Chatou,2005,http://www.bluwan.com,,Bluwan,https://www.facebook.com/Bluwan,,http://www.linkedin.com/company/942539,,Entreprise
bnbsitter,BnbSitter,"Réservez en moins de deux minutes un service de remise et reprise de clés, lavage du linge et ménage professionnel pour votre location de courte durée.",,,,48.86784423800049,2.3624450210004397,21,Place de la République 75003 PAris,,2013,http://www.bnbsitter.com,hello@bnbsitter.com,bnbsitter,https://www.facebook.com/bnbsitter,https://plus.google.com/109084247928786828149/posts,,,Entreprise
bobomicro,bobomicro,"le labo bomicro, acteur du numérique du futur",,,,48.8614999990005,2.368670004000421,1 bis passage saint sebastien,75011,paris,2001,http://bobomicro.fr,contact@bobomicro.fr,bobomicro,,,,,Entreprise
bonjourbonjour,BonjourBonjour,BonjourBonjour est votre application pour partager et découvrir ce qui se passe et qui est autour de vous. Parce que local rime aussi avec social !,,,,48.8683400000005,2.3519500000004427,224 rue Saint-Denis,75013,Paris,2011,http://www.bonjourbonjour.net,david@bonjourbonjour.net,bonjourbonjour,https://www.facebook.com/pages/BONJOURBONJOUR/109090615850300,,,,Entreprise
bookeen,Bookeen,Bookeen développe le marché du livre électronique en fournissant des systèmes dédiés à la lecture numérique.,ebook,liseuse,equipement,48.822891,2.35879,27 rue de la Vistule,75013,Paris,2003,http://www.bookeen.com,,BookeenTeam,https://www.facebook.com/Bookeen,,http://www.linkedin.com/company/1245678,,Entreprise
border-6,Border 6,"La technologie de Border 6 scrute et simule ces applications afin de détecter automatiquement les pannes. Elle conduit le trafic applicatif au travers du réseau qui à chaque instant fournit le chemin le plus fiable, rapide ou encore le moins coûteux.",,,,48.82573,2.3265431,"101, avenue du Général LECLERC",75685 Cedex 14,Paris,2012,http://www.border6.com/solutions,,,,,,,Entreprise
borderline-tv,BORDERLINE TV,Social Media platform dedicated to showcase emerging talent from the web. Social Media platform dédié à la promotion des talents émergents du web.,,,,48.8393398390005,2.5433898600004454,11 place des Fédérés. 93470. Noisy-Le-Grand,,,2013,http://www.borderlinetv.biz,borderlinetv2013@gmail.com,borderlinetv,,,http://www.linkedin.com/profile/view?id=4099170&trk=nav_responsive_tab_profile,,Acteur public
bornup,Bornup,"Bornup propose des solutions logicielles et matérielles pour systèmes multimédias tactiles : bornes, tables, vitrines.",tactile,equipement,,48.405182,2.68788,43 rue Royale,77300,Fontainebleau,2004,http://www.bornup.fr,,,,,,,Entreprise
bottin-cartographes,Bottin Cartographes,"Bottin Carto développe et commercialise des solutions sur mesure en édition, sur le web et les mobiles. ",telecoms,,,48.869798,2.219033,16 rue Edouard NieuportBP 108 Cedex,92150,Suresnes,2007,http://bottincarto.com/pro,,,,,,,Entreprise
bouygues-telecom-initiative,Bouygues Telecom Initiative,Fonds d'amorçage et Incubateur destiné à soutenir l'Open Innovation.,energie,telecoms,,48.875908,2.299768,"32, avenue Hoche",75008,Paris,1994,http://www.btinitiatives.fr/,,,,,,,Entreprise
brain-vision-systems,Brain Vision Systems,Brain Vision Systems est spécialisée dans les systèmes de vision intelligents. ,camera,equipement,smartvision,48.82513,2.37487,23 rue du Dessous des Berges,75013,Paris,2006,http://www.bvs-tech.com,,,,,,,Entreprise
brie-nov,Brie'Nov,"Brie’Nov est \\\\\\\\nun écosystème d’innovation territoriale et sociale, citoyenne et numérique\\\\\\\\nun creuset qui rassemble les différentes parties prenantes (place importante  de l’usager-citoyen) pour répondre à des besoins locaux\\\\\\\\nlabellisé « Living Lab »",,,,48.86655380400049,3.161042372000452,14,rue de la croissette 77510 Doue,,2011,http://brienov.fr,bernard.corbineau@brienov.fr,,https://www.facebook.com/groups/168084339907377/?fref=ts,,,,Communauté
brightcove,Brightcove,Brightcove est un fournisseur de services de contenu cloud qui offre une gamme de produits permettant de publier et de distribuer des médias numériques professionnels dans le monde entier.,video,apps,,48.877441,2.32818,26 rue de Londres,75009,Paris,2004,http://www.brightcove.com,,Brightcove,https://www.facebook.com/Brightcove,https://plus.google.com/100830370440271567091,http://www.linkedin.com/company/16439,,Entreprise
bso-network-solutions,Bso Network Solutions,"Created in 2009 and based in Ireland, Carinae Group is a Technical Excellence company that joins the expertise of BSO Network Solutions, BSO Carrier Solutions and Etix DataCenter and directly works for the benefits of enterprises.",telecoms,,,48.8992817,2.2216141,81 avenue Francois Arago,92000,Nanterre,2005,http://www.carinaegroup.com,,,,,,,Entreprise
bukkett,Bukkett,Bukkett est une solution SoLoMo éditée par MeoMeo qui offre gratuitement aux campus  un média dédié à leur vie étudiante.,solomo,universite,,48.857712,2.38603,4 rue de la Croix Faubin,75011,Paris,2011,http://www.bukkett.com,,TeamBukkett,https://www.facebook.com/bukkettapps,,http://www.linkedin.com/company/1718156,,Entreprise
bulb-in-town,Bulb In Town,"Bulb in Town est un site de financement participatif dédié aux projets de proximité : commerçants, artisans, associations de quartier.",crowdfunding,commerces,associations,48.893959,2.35278,110 rue des Poissonniers ,75018,Paris,2012,http://www.bulbintown.com,,bulbintown,https://www.facebook.com/BulbInTown,,http://www.linkedin.com/company/2870075,,Entreprise
bulkypix,Bulkypix,BulkyPix est un développeur et éditeur de divertissement digital qui propose des jeux pour PC et Mac et des applications interactives pour appareils mobiles (smartphones et tablettes tactiles).,jeu,mobile,apps,48.80059,2.12622,6 avenue de Sceaux,78000,Versailles,2008,http://www.bulkypix.com,,Bulkypix,https://www.facebook.com/Bulkypix,,http://www.linkedin.com/company/301698,,Entreprise
bull,Bull,"Bull est une entreprise de conseil et de développement informatique, spécialiste des systèmes ouverts et sécurisés.",informatique,,,48.824413,1.98129,Rue Jean Jaurès,78340,Les Clayes-sous-Bois,1954,http://www.bull.fr,,bullfr,,,http://www.linkedin.com/company/2274,,Entreprise
bullguard,BullGuard,Bullguard est un producteur de logiciels de sauvegarde pour ordinateurs et mobile.,securite,,,48.896118,2.29766,120 rue Jean Jaurès,92300,Levallois Perret,2002,http://www.bullguard.com,,BullGuard,https://www.facebook.com/BullGuard,https://plus.google.com/102909736483892980240,http://www.linkedin.com/company/bullguard,,Entreprise
buongiorno,Buongiorno,Buongiorno est une entreprise qui opère dans deux domaines : la distribution de services mobiles à valeur ajoutée et le marketing digital.,mobile,marketing,,48.877041,2.31453,10 rue Treilhard,75008,Paris,1999,http://www.buongiorno.com,,Bmarketing,https://www.facebook.com/BuongiornoGroup,,http://www.linkedin.com/company/162832,,Entreprise
bureaux-a-partager,Bureaux A Partager,Bureaux A Partager est une plateforme de partage d'espaces de travail entre professionnels.,bureaux,economiecollaborative,,48.868328,2.36601,17 rue du Faubourg du Temple,75010,Paris,2012,http://www.bureauxapartager.com,,BureauAPartager,https://www.facebook.com/Bureauxapartager,https://plus.google.com/100657603327657770168,http://www.linkedin.com/company/bureaux-a-partager,,Entreprise
buzzaka,Buzzaka,Buzzaka est une agence interactive spécialisée dans les secteurs culturel et éducatif.,agence,culture,education,48.87463,2.34085,25 rue Drouot,75009,Paris,2007,http://www.buzzaka.com,,agence_buzzaka,https://www.facebook.com/pages/Buzzaka/374384925908982,,http://www.linkedin.com/company/buzzaka,,Entreprise
byo-networks,Byo Networks,BYO Networks développe et commercialise des solutions logicielles et matérielles pour les réseaux de télécommunications. Elles permettent une gestion centralisée de réseaux locaux complexes.,telecoms,,,48.6962109,2.1946309,86 rue de Paris,91400,Orsay,2010,http://www.byo-networks.com/,,,,,,,Entreprise
c-k,C&K,\\nC&K Components is a leader in interface and switch technology as well as smart card and high reliability connector products.,ocds,,,48.84432,2.788231,"2, boulevard Michael Faradayarlington square bat B",77716,Serris-Marne-La-Vallee,1964,http://www.ck-components.com,,,,,,,Entreprise
cadeaushaker,CadeauShaker,"Nous proposons aux internautes d'offrir à leurs proches des livrets personnalisés ""CadeauShaker"", dans lesquels ils pré-sélectionnent 5 idées cadeaux pour leur proche, qui pourra à son tour choisir son cadeau préféré le jour de l’événement.",,,,48.8598759890005,2.281783323000411,50,rue de la Tour,75116 Paris,2012,http://www.cadeaushaker.fr,clementine@cadeaushaker.fr,cadeaushaker,https://www.facebook.com/CadeauShaker,,,,Entreprise
cadev,Cadev,CADev vous accompagne gratuitement dans toutes les phases de votre projet d'investissement ou d'implantation d'entreprise,ocds,,,48.7881917,2.2913113,"8, avenue René Isidore",92260,Fontenay-Aux-Roses,2001,http://www.meteorix.fr,,,,,,,Entreprise
cadlm,Cadlm,"CADLM met en oeuvre des outils puissants et conviviaux pour la conception, le dimensionnement et l'optimisation.",ocds,,,48.6990327,2.137414,9 rue Raoul Dautry,91190,Gif-Sur-Yvette,1989,http://www.cadlm.fr,,,,,,,Entreprise
café-craft,Café Craft,"Situé à deux pas du canal Saint-Martin, le café Craft est un lieu conçu pour les travailleurs nomades, qui carburent au café.",cafe,coworking,,48.873131,2.36307,24 rue des Vinaigriers,75010,Paris,2012,http://www.cafe-craft.com,,Cafe_Craft,https://www.facebook.com/pages/Café-Craft/354177147964286,,,,Tiers-lieu
caisse-des-depots-direction-des-back-offices,Caisse des Depots - Direction des Back Offices,,Investisseur,,,48.859077,2.3279978,DBOHD1 - Plateforme d'execution des dépenses - 56 rue de Lille,73356,Paris 07,1983,,,,,,,,Entreprise
calame-software,Calame Software,Editeur de logiciels spécialisé dans la collecte automatisée de données.,,,,48.403304,2.468334,36 ZA Le Chênet,91490,Milly-La-Forêt,2003,http://www.calame-software.com/,,,,,,,Entreprise
calliandra-networks,Calliandra Networks,Calliandra permet de produire la documentation d'un réseau en retro-ingénierie et garantit donc une analyse juste du réseau dans son ensemble.,,,,48.832914,2.3551273,10 rue Phiippe de Champagne,75013,Paris,2012,http://www.calliandra-networks.com,,,,,,,Entreprise
camineo,Camineo,Fourniture de solutions de création et de diffusion de contenus multimédias géolocalisés sur plateformes mobiles et service de formation associés.\\nCréation de contenus éditoriaux et multimédias spécifiques et adaptés.,securite,,,43.5520921,1.4891697,"13, avenue de l'Europe",31520,Ramonville-Saint-Ange,2005,http://www.camineo.com,,,,,,,Entreprise
canberra,Canberra,Leader dans la conception d'instruments et de systèmes de mesure nucléaire et de radioprotection,securite,,,48.7766463,2.0306592,"1, rue des HéronsBois Mouton",78180,Montigny-Le-Bretonneux,1992,http://www.canberra.com,,,,,,,Entreprise
cantoche,Cantoche,Cantoche est une société dont l’expertise technologique dans le domaine des interfaces humanisées se double d’un savoir-faire artistique en création de personnages animés interactifs.,agentvirtuel,livingactor,,48.875452,2.351105,68 rue d'Hauteville,75010,Paris,1999,http://www.cantoche.com,,LivingActor_FR,,,http://www.linkedin.com/company/73834,,Entreprise
cap-decisif-management,Cap Decisif Management,Société de gestion spécialisée dans le capital-risque amont.,Investisseur,,,48.8736609,2.298841,21 bis rue Lord Byron,75008,Paris,2007,,,,,,,,Entreprise
cap-digital,Cap Digital,Cap Digital est le pôle de compétitivité à vocation mondiale consacré aux technologies de l'information et de la communication et spécialisé dans la filière des contenus et services numériques.,poledecompetitivite,contenus&services,numerique,48.851768,2.37415,74 rue du Faubourg Saint-Antoine,75012,Paris,2006,http://www.capdigital.com,,Cap_Digital,https://www.facebook.com/capdigitalparisregion,https://plus.google.com/107727636172461341994,http://www.linkedin.com/company/142118,,Acteur public
cap2020,Cap2020,"L’activité de Cap 2020 se décline en trois domaines :\\n- la Météo Agricole à la Parcelle® via le concept de Station Météo Virtuelle®,\\n- la supervision des territoires agricoles,\\n- la géostatistique et le datamining.",telecoms,,,48.3733107,2.3785882,"2, Allée du Chemin Neuf",91720,Gironville-Sur-Essonne,2007,http://www.cap2020.fr,,,,,,,Entreprise
caphorn-invest,CapHorn Invest,Caphorn Invest est un fonds d'investissement et d'accompagnement qui a pour vocation d’accélérer le  développement commercial de jeunes PME à fort potentiel.,venturecapitalist,,,48.868301,2.33333,32 avenue de l'Opéra,75002,Paris,2009,http://www.caphorninvest.fr,,CapHornInvest,,,http://www.linkedin.com/company/caphorn-invest,,Investisseur
capitaine-train,Capitaine Train,Capitaine Train est une plateforme d'achat de billets de train simple et rapide.,transport,ecommerce,train,48.87479,2.34742,9 rue Ambroise Thomas,75009,Paris,2009,http://www.capitainetrain.com,,capitainetrain,https://www.facebook.com/capitainetrain,https://plus.google.com/+capitainetrain,http://www.linkedin.com/company/1180468,,Entreprise
capital-games,Capital Games,"Capital Games est un cluster qui fédère l’ensemble des professionnels franciliens du Jeu vidéo, tout métier, toute plateforme et tout segment confondus.",cluster,jeuvideo,,48.851768,2.37415,74 rue du Faubourg Saint-Antoine,75012,Paris,2003,http://www.capital-games.org,,capital_games,https://www.facebook.com/pages/Capital-Games/467194419959887,https://plus.google.com/104493716062521584728,,,Communauté
capital-koala,Capital Koala,Capital Koala permet d’accumuler un capital placé sur un compte-épargne pour un enfant désigné à partir de vos achats en ligne.,epargne,ecommerce,,48.882511,2.3328,29 rue de Douai,75009,Paris,2010,http://www.capitalkoala.com,,capitalkoala,https://www.facebook.com/capitalkoala,,http://www.linkedin.com/company/capital-koala,,Entreprise
captain-contrat,Captain Contrat,"Documents juridiques pour créateurs d'entreprises et dirigeants de TPE / PME, validés par des avocats, à prix abordables",,,,48.87373722400048,2.3514733190004335,28 rue des petites écuries,75010 Paris,,2013,http://captaincontrat.com,maxime@captaincontrat.com,captaincontrat,,,,,Entreprise
captaindash,CaptainDash,CaptainDash est un spécialiste de la bigdata et de la création de dashboards visuels et interactifs pour le marketing.,bigdata,dashboard,marketing,48.86908,2.37702,86 rue de la Fontaine au Roi,75011,Paris,2010,http://www.captainDash.com,,captain_dash,https://www.facebook.com/wegivesuperpowers,,http://www.linkedin.com/company/768752,,Entreprise
cara-mel,Cara-Mel,"La société CARA-MEL a développé le progiciel Info-Dialog, première plateforme de travail collaboratif qui met au service des entreprises l’ensemble des outils de communication modernes pour stimuler et animer le travail en équipe",opensource,telecoms,,48.6929778,2.3832465,"5, rue Marguerite",91200,Athis-Mons,2009,http://www.cara-mel.fr/,,,,,,,Entreprise
card.biz,Card.biz,"Outils en ligne de création d'annuaires, trombinoscopes et organigrammes. Card.biz est un service pour les managers, les spécialistes des ressources humaines et tous ceux qui ont besoin de partager des informations simples et utiles.",,,,48.86744505700051,2.3361150200004204,46 rue St Anne 75003 Paris,,,2010,http://card.biz,rm@card.biz,card_biz,https://www.facebook.com/wwwcardbiz,,,,Entreprise
carré-multimédia,Carré Multimédia,Carré Multimédia est une agnce spécialisée dans le développement et l’édition de programmes multimédias éducatifs et culturels.,agence,culture,education,48.866692,2.38167,154  rue Oberkampf,75011,Paris,1995,http://www.carremultimedia.com,,,,,,,Entreprise
cassette-voyage,Cassette Voyage,"Cassette Voyage développpe Addictrip, un portail sur lequel vous pouvez trouver toute l’information dont vous avez besoin pour préparer et réserver votre prochaine escapade urbaine en Europe et ailleurs.",tourisme,,,48.874401,2.3532,19 rue Martel,75010,Paris,2008,http://www.addictrip.com,,,http://www.facebook.com/addictrip,,http://www.linkedin.com/company/791198,,Entreprise
ccgenie,ccGenie,ccGenie est un outil de collaboration en ligne qui transforme un monceau d’e-mails en un projet organisé,,,,48.867509241000505,2.3531901790004213,121 Bd de Sebastopol,75011 Paris,,2012,http://www.ccgenie.com,antoine@ccgenie.net,ccGenie,https://www.facebook.com/ccgenie,https://plus.google.com/+Ccgenie,http://www.linkedin.com/company/ccgenie,,Entreprise
ccnum,CCNum,Le Conseil National du Numérique est une commission consultative qui a pour mission de formuler et de rendre publics des avis et des recommandations sur toute question relative à l’impact du numérique sur la société et sur l’économie.,commission,concertation,,48.83226,2.38726,14 place des Vins de France,75012,Paris,2011,http://www.cnnumerique.fr,,CNNum,https://www.facebook.com/pages/Conseil-National-du-Num%C3%A9rique/151801241552481,,,,Acteur public
cdc-entreprises,CDC Entreprises,,Investisseur,,,48.8610261,2.3069582,"137, rue de l'Université",75007,Paris,2000,,,,,,,,Entreprise
cea,CEA,"Le CEA est un organisme de recherche sur les énergies nucléaire et renouvelables, les technologies pour l'information et la santé, la défense et la sécurité.",securite,opensource,energie,48.8395591,2.2742689,25 rue Leblanc,75015,Paris,1945,,,,,,,,Entreprise
